6 AB0
Zona_0
AB0 AB1 AB2 
Zona_1
AB3 AB4 AB5 
Zona_2
AB6 AB7 AB8 
Zona_3
AB9 AB10 AB11 
Zona_4
AB12 AB13 AB14 
Zona_5
AB15 AB16 AB17 
AB0 AB1 1 651
AB0 AB2 1 763
AB0 AB3 1 684
AB0 AB4 1 604
AB0 AB5 1 175
AB0 AB6 1 413
AB0 AB7 1 753
AB0 AB8 1 344
AB0 AB9 1 188
AB0 AB10 1 666
AB0 AB11 1 427
AB0 AB12 1 461
AB0 AB13 1 782
AB0 AB14 1 193
AB0 AB15 1 326
AB0 AB16 1 672
AB0 AB17 1 903
AB1 AB0 1 420
AB1 AB2 1 967
AB1 AB3 1 879
AB1 AB4 1 831
AB1 AB5 1 936
AB1 AB6 1 868
AB1 AB7 1 832
AB1 AB8 1 959
AB1 AB9 1 627
AB1 AB10 1 510
AB1 AB11 1 702
AB1 AB12 1 939
AB1 AB13 1 593
AB1 AB14 1 685
AB1 AB15 1 181
AB1 AB16 1 799
AB1 AB17 1 500
AB2 AB0 1 609
AB2 AB1 1 416
AB2 AB3 1 92
AB2 AB4 1 987
AB2 AB5 1 599
AB2 AB6 1 482
AB2 AB7 1 716
AB2 AB8 1 912
AB2 AB9 1 17
AB2 AB10 1 364
AB2 AB11 1 588
AB2 AB12 1 738
AB2 AB13 1 672
AB2 AB14 1 381
AB2 AB15 1 979
AB2 AB16 1 110
AB2 AB17 1 849
AB3 AB0 1 792
AB3 AB1 1 932
AB3 AB2 1 716
AB3 AB4 1 659
AB3 AB5 1 869
AB3 AB6 1 870
AB3 AB7 1 885
AB3 AB8 1 472
AB3 AB9 1 90
AB3 AB10 1 175
AB3 AB11 1 934
AB3 AB12 1 764
AB3 AB13 1 198
AB3 AB14 1 269
AB3 AB15 1 229
AB3 AB16 1 837
AB3 AB17 1 817
AB4 AB0 1 465
AB4 AB1 1 39
AB4 AB2 1 526
AB4 AB3 1 974
AB4 AB5 1 669
AB4 AB6 1 765
AB4 AB7 1 178
AB4 AB8 1 359
AB4 AB9 1 809
AB4 AB10 1 818
AB4 AB11 1 890
AB4 AB12 1 408
AB4 AB13 1 749
AB4 AB14 1 486
AB4 AB15 1 281
AB4 AB16 1 319
AB4 AB17 1 299
AB5 AB0 1 368
AB5 AB1 1 777
AB5 AB2 1 933
AB5 AB3 1 878
AB5 AB4 1 591
AB5 AB6 1 760
AB5 AB7 1 989
AB5 AB8 1 304
AB5 AB9 1 848
AB5 AB10 1 731
AB5 AB11 1 673
AB5 AB12 1 185
AB5 AB13 1 443
AB5 AB14 1 19
AB5 AB15 1 491
AB5 AB16 1 384
AB5 AB17 1 973
AB6 AB0 1 454
AB6 AB1 1 481
AB6 AB2 1 70
AB6 AB3 1 947
AB6 AB4 1 875
AB6 AB5 1 456
AB6 AB7 1 938
AB6 AB8 1 659
AB6 AB9 1 288
AB6 AB10 1 516
AB6 AB11 1 293
AB6 AB12 1 878
AB6 AB13 1 987
AB6 AB14 1 307
AB6 AB15 1 818
AB6 AB16 1 474
AB6 AB17 1 974
AB7 AB0 1 589
AB7 AB1 1 5
AB7 AB2 1 935
AB7 AB3 1 577
AB7 AB4 1 530
AB7 AB5 1 442
AB7 AB6 1 814
AB7 AB8 1 244
AB7 AB9 1 741
AB7 AB10 1 364
AB7 AB11 1 577
AB7 AB12 1 105
AB7 AB13 1 501
AB7 AB14 1 132
AB7 AB15 1 959
AB7 AB16 1 67
AB7 AB17 1 788
AB8 AB0 1 609
AB8 AB1 1 904
AB8 AB2 1 848
AB8 AB3 1 729
AB8 AB4 1 704
