8 AB0
Zona_0
AB0 AB1 AB2 
Zona_1
AB3 AB4 AB5 
Zona_2
AB6 AB7 AB8 
Zona_3
AB9 AB10 AB11 
Zona_4
AB12 AB13 AB14 
Zona_5
AB15 AB16 AB17 
Zona_6
AB18 AB19 AB20 
Zona_7
AB21 AB22 AB23 
AB0 AB1 1 320
AB0 AB2 1 69
AB0 AB3 1 912
AB0 AB4 1 683
AB0 AB5 1 974
AB0 AB6 1 654
AB0 AB7 1 439
AB0 AB8 1 593
AB0 AB9 1 68
AB0 AB10 1 935
AB0 AB11 1 776
AB0 AB12 1 417
AB0 AB13 1 188
AB0 AB14 1 764
AB0 AB15 1 759
AB0 AB16 1 175
AB0 AB17 1 540
AB0 AB18 1 473
AB0 AB19 1 192
AB0 AB20 1 70
AB0 AB21 1 309
AB0 AB22 1 467
AB0 AB23 1 736
AB1 AB0 1 754
AB1 AB2 1 134
AB1 AB3 1 509
AB1 AB4 1 765
AB1 AB5 1 823
AB1 AB6 1 664
AB1 AB7 1 683
AB1 AB8 1 279
AB1 AB9 1 108
AB1 AB10 1 154
AB1 AB11 1 792
AB1 AB12 1 564
AB1 AB13 1 423
AB1 AB14 1 561
AB1 AB15 1 517
AB1 AB16 1 5
AB1 AB17 1 703
AB1 AB18 1 701
AB1 AB19 1 13
AB1 AB20 1 98
AB1 AB21 1 126
AB1 AB22 1 568
AB1 AB23 1 731
AB2 AB0 1 487
AB2 AB1 1 678
AB2 AB3 1 56
AB2 AB4 1 175
AB2 AB5 1 564
AB2 AB6 1 795
AB2 AB7 1 989
AB2 AB8 1 975
AB2 AB9 1 1
AB2 AB10 1 172
AB2 AB11 1 501
AB2 AB12 1 160
AB2 AB13 1 368
AB2 AB14 1 579
AB2 AB15 1 579
AB2 AB16 1 715
AB2 AB17 1 881
AB2 AB18 1 510
AB2 AB19 1 764
AB2 AB20 1 589
AB2 AB21 1 168
AB2 AB22 1 820
AB2 AB23 1 830
AB3 AB0 1 106
AB3 AB1 1 884
AB3 AB2 1 60
AB3 AB4 1 537
AB3 AB5 1 322
AB3 AB6 1 953
AB3 AB7 1 104
AB3 AB8 1 395
AB3 AB9 1 276
AB3 AB10 1 166
AB3 AB11 1 771
AB3 AB12 1 757
AB3 AB13 1 202
AB3 AB14 1 906
AB3 AB15 1 612
AB3 AB16 1 450
AB3 AB17 1 738
AB3 AB18 1 782
AB3 AB19 1 689
AB3 AB20 1 576
AB3 AB21 1 879
AB3 AB22 1 53
AB3 AB23 1 190
AB4 AB0 1 87
AB4 AB1 1 905
AB4 AB2 1 802
AB4 AB3 1 990
AB4 AB5 1 239
AB4 AB6 1 827
AB4 AB7 1 960
AB4 AB8 1 785
AB4 AB9 1 28
AB4 AB10 1 936
AB4 AB11 1 457
AB4 AB12 1 304
AB4 AB13 1 291
AB4 AB14 1 886
AB4 AB15 1 965
AB4 AB16 1 168
AB4 AB17 1 242
AB4 AB18 1 382
AB4 AB19 1 910
AB4 AB20 1 377
AB4 AB21 1 804
AB4 AB22 1 937
AB4 AB23 1 726
AB5 AB0 1 100
AB5 AB1 1 280
AB5 AB2 1 353
AB5 AB3 1 566
AB5 AB4 1 342
AB5 AB6 1 578
AB5 AB7 1 558
AB5 AB8 1 61
AB5 AB9 1 356
AB5 AB10 1 388
AB5 AB11 1 177
